Number;Weight (N);Stature (mm);Head circumference (mm);Shoulder breadth (mm);Hand length (mm);Hand breadth (mm);Chest circumference (mm);Waist circumference (mm);Foot length (mm);Foot breadth (mm);Gender (1M, 2F);Age (months)
1756;603;1757;568;419;198;91;885;693;281;119;1;201
1757;742;1762;572;459;184;88;962;810;262;105;1;201
1758;642;1768;578;441;194;87;911;753;273;103;1;201
1759;857;1791;612;484;205;99;1048;828;282;114;1;201
1760;700;1819;577;450;199;94;898;761;282;109;1;201
1761;558;1693;544;435;182;89;903;668;258;99;1;202
1762;505;1695;541;383;173;78;789;682;245;97;1;202
1763;649;1711;563;426;184;86;909;751;252;106;1;202
1764;620;1718;568;415;198;88;861;714;262;109;1;202
1765;747;1770;566;448;196;95;939;755;282;119;1;202
1766;676;1776;569;426;197;94;920;766;282;109;1;202
1767;654;1792;576;419;192;89;880;733;277;111;1;202
1768;707;1808;579;434;189;90;912;765;261;103;1;202
1769;548;1622;535;425;175;87;845;695;248;97;1;203
1770;540;1684;530;414;177;84;867;679;247;104;1;203
1771;560;1685;557;376;179;86;831;692;252;93;1;203
1772;580;1718;558;423;182;84;878;686;256;100;1;203
1773;639;1720;578;452;181;84;920;749;256;99;1;203
1774;686;1743;580;452;188;92;963;741;265;99;1;203
1775;724;1778;571;442;178;85;949;818;257;102;1;203
1776;673;1778;573;442;197;92;948;751;279;106;1;203
1777;964;1831;588;517;198;88;1054;985;279;107;1;203
1778;892;1844;581;467;196;88;962;903;277;101;1;203
1779;1062;1848;603;516;186;87;1111;1063;289;105;1;203
1780;597;1672;545;426;181;85;925;728;244;105;1;204
1781;698;1743;556;421;193;83;911;827;270;110;1;204
1782;630;1751;562;429;192;85;865;683;261;97;1;204
1783;599;1763;571;428;180;87;859;693;268;98;1;204
1784;720;1778;576;447;182;85;881;733;255;103;1;204
1785;668;1786;560;444;201;90;896;751;266;104;1;204
1786;691;1787;512;461;190;90;859;687;278;110;1;204
1787;642;1800;560;426;203;97;842;708;275;108;1;204
1788;696;1803;553;458;184;92;951;778;282;106;1;204
1789;758;1803;559;448;200;93;948;806;273;105;1;204
1790;649;1816;550;463;191;90;984;724;266;105;1;204
1791;835;1841;578;462;199;87;977;815;283;113;1;204
1792;632;1669;545;429;180;86;874;729;256;99;1;205
1793;468;1672;512;388;185;83;805;635;260;94;1;205
1794;704;1675;576;427;181;91;961;771;253;100;1;205
1795;674;1683;582;456;174;86;920;762;256;95;1;205
1796;682;1699;548;429;182;85;911;765;261;102;1;205
1797;615;1709;557;424;182;85;916;737;258;105;1;205
1798;638;1725;560;414;178;83;891;764;244;99;1;205
1799;753;1771;586;458;198;91;960;780;267;109;1;205
1800;746;1813;576;498;197;98;1000;774;279;108;1;205
1801;772;1896;591;444;217;95;939;752;300;104;1;205
1802;553;1679;562;445;183;84;890;704;239;97;1;206
1803;644;1693;582;428;179;83;881;753;248;97;1;206
1804;660;1719;571;445;181;91;898;762;256;106;1;206
1805;600;1757;550;412;183;87;848;684;255;108;1;206
1806;788;1770;558;459;181;82;936;941;255;97;1;206
1807;713;1790;574;444;191;88;894;807;268;100;1;206
1808;849;1730;584;474;190;94;999;863;264;104;1;207
1809;775;1749;574;481;200;98;1000;834;280;109;1;207
1810;729;1775;577;441;188;87;945;754;271;106;1;207
1811;746;1797;547;443;200;90;939;791;272;102;1;207
1812;646;1807;575;434;201;88;867;676;269;100;1;207
1813;675;1810;574;456;199;91;926;742;279;104;1;207
