INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182028440,2629,Harassment,HARASSMENT,A1,102,,2018-04-16 13:05:00,2018,4,Monday,13,Part Two,WASHINGTON ST,42.35591935,-71.06000539,"(42.35591935, -71.06000539)"
I182028437,617,Larceny,LARCENY THEFT FROM BUILDING,A1,115,,2018-04-16 15:32:00,2018,4,Monday,15,Part One,LINCOLN ST,42.35201794,-71.05811581,"(42.35201794, -71.05811581)"
I182028434,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,823,,2018-04-16 13:58:00,2018,4,Monday,13,Part Two,SAWYER AVE,42.31209619,-71.06084426,"(42.31209619, -71.06084426)"
I182028423,617,Larceny,LARCENY THEFT FROM BUILDING,D4,137,,2018-04-16 14:15:00,2018,4,Monday,14,Part One,NEWBURY ST,42.35059717,-71.07881031,"(42.35059717, -71.07881031)"
I182028419,520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,626,,2018-04-15 14:00:00,2018,4,Sunday,14,Part One,PETERBOROUGH ST,42.34339388,-71.09849282,"(42.34339388, -71.09849282)"
I182028419,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,626,,2018-04-15 14:00:00,2018,4,Sunday,14,Part Two,PETERBOROUGH ST,42.34339388,-71.09849282,"(42.34339388, -71.09849282)"
I182028417,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,244,,2018-04-16 14:07:00,2018,4,Monday,14,Part One,DORCHESTER AVE,42.31734603,-71.0567131,"(42.31734603, -71.05671310)"
I182028414,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,C11,339,,2018-04-16 13:49:00,2018,4,Monday,13,Part One,HANCOCK ST,42.30962068,-71.06006083,"(42.30962068, -71.06006083)"
I182028410,423,Aggravated Assault,ASSAULT - AGGRAVATED,B3,418,,2018-04-16 14:29:00,2018,4,Monday,14,Part One,NELSON ST,42.28062466,-71.08163643,"(42.28062466, -71.08163643)"
I182028405,613,Larceny,LARCENY SHOPLIFTING,C6,186,,2018-04-16 13:53:00,2018,4,Monday,13,Part One,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)"
